title,authors,average_rating,isbn,isbn13,publication_date,publisher
There's No Toilet Paper . . . on the Road Less Traveled: The Best of Travel Humor and Misadventure,Doug Lansky,3.38,1932361278,9781932361278,11/16/2005,Travelers' Tales
The OK Book,Amy Krouse Rosenthal/Tom Lichtenheld,3.96,0061152552,9780061152559,4/24/2007,HarperCollins
La mezzanine,Nicholson Baker,3.84,2264017694,9782264017697,11/18/1998,10/18
A Midsummer Night's Dream,William Shakespeare/Harold F. Brooks,3.94,1903436605,9781903436608,9/6/1979,Arden Shakespeare
On Film (Thinking in Action),Stephen Mulhall,3.9,0415247969,9780415247962,12/23/2001,Routledge
Justice Oliver Wendell Holmes: Law and the Inner Self,G. Edward White,3.67,0195101286,9780195101287,12/19/1995,Oxford University Press  USA
The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93,0345391691,9780345391698,1/30/2001,Ballantine Books
The Amen Corner,James Baldwin,3.9,0375701885,9780375701887,2/17/1998,Vintage
Jeeves and The Feudal Spirit (Jeeves  #11),P.G. Wodehouse,4.32,1841591017,9781841591018,9/20/2001,Everyman's Library
The Shining,Stephen King/Campbell Scott,4.22,0743537009,9780743537001,8/2/2005,Simon & Schuster Audio
The Essential John Nash,John F. Nash/Harold William Kuhn/Sylvia Nasar,3.89,0691096104,9780691096100,3/18/2007,Princeton University Press
JLA: Earth 2,Grant Morrison/Frank Quitely,3.97,1563896311,9781563896316,10/1/2000,DC Comics
The Dragon Prince: A Chinese Beauty & the Beast Tale,Laurence Yep/Kam Mak,3.93,0064435180,9780064435185,1/9/1999,HarperCollins
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,1557046832,9781557046833,10/20/2005,Newmarket Press
Blueberry Muffin Murder (Hannah Swensen  #3),Joanne Fluke,3.87,1575667223,9781575667225,2/1/2003,Kensington
